,index,lang,textfile,Freq,file,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Rel_freq,Sum_prob
24044,00390,ell,ΐ,196,7,25.769891960694103,1072,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.00011172502874354375,1.0000000000000002
24045,00390,grc,ΐ,17,2,25.769891960694103,1072,Grek,84,0,alphabet,Phoenician,Phnx,2321616,7.3224857168455075e-06,0.9946429489486401
24046,003AC,ell,ά,32076,7,54.5976656754479,1472,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.018284142969275045,1.0000000000000002
24047,003AC,grc,ά,4368,2,54.5976656754479,1472,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0018814480947753633,0.9946429489486401
24048,003AD,ell,έ,30697,7,41.360042161241395,1203,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.017498077588472258,1.0000000000000002
24049,003AD,grc,έ,6061,2,41.360042161241395,1203,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0026106815252823893,0.9946429489486401
24050,003AE,ell,ή,15128,7,51.3885885736318,1132,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.008623348136899642,1.0000000000000002
24051,003AE,grc,ή,2911,2,51.3885885736318,1132,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0012538679953963102,0.9946429489486401
24052,003AF,ell,ί,35771,7,24.3329687846215,1047,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.020390387771353588,1.0000000000000002
24053,003AF,grc,ί,5975,2,24.3329687846215,1047,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.00257363836224423,0.9946429489486401
24054,003B0,ell,ΰ,1,1,42.9490105324045,1228,Grek,84,0,alphabet,Phoenician,Phnx,1754307,5.70025656854815e-07,1.0000000000000002
24055,003B0,grc,ΰ,1,1,42.9490105324045,1228,Grek,84,0,alphabet,Phoenician,Phnx,2321616,4.3073445393208866e-07,0.9946429489486401
24056,003B1,ell,α,189222,8,48.719588093312105,1428,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.10786139484138181,1.0000000000000002
24057,003B1,grc,α,263036,10,48.719588093312105,1428,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.11329866782448088,0.9946429489486401
24058,003B2,ell,β,13558,8,69.5031218127738,1364,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.007728407855637582,1.0000000000000002
