,index,lang,textfile,Freq,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor
25095,00621,pes,ء,10,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat
25096,00621,prs,ء,8,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat
25097,00621,snd,ء,2327,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat
25098,00621,urd,ء,30,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat
25099,00622,arb,آ,554,22.3338725888909,939,Arab,39,0,abjad,Middle East,Nbat
25100,00622,arz,آ,290,22.3338725888909,939,Arab,39,0,abjad,Middle East,Nbat
25101,00622,pes,آ,10339,22.3338725888909,939,Arab,39,0,abjad,Middle East,Nbat
25102,00622,prs,آ,5003,22.3338725888909,939,Arab,39,0,abjad,Middle East,Nbat
25103,00622,snd,آ,1965,22.3338725888909,939,Arab,39,0,abjad,Middle East,Nbat
25104,00622,urd,آ,2956,22.3338725888909,939,Arab,39,0,abjad,Middle East,Nbat
25105,00623,arb,أ,7465,21.857814675026997,943,Arab,39,0,abjad,Middle East,Nbat
25106,00623,arz,أ,6748,21.857814675026997,943,Arab,39,0,abjad,Middle East,Nbat
25107,00623,pes,أ,59,21.857814675026997,943,Arab,39,0,abjad,Middle East,Nbat
25108,00623,prs,أ,48,21.857814675026997,943,Arab,39,0,abjad,Middle East,Nbat
25109,00623,urd,أ,4,21.857814675026997,943,Arab,39,0,abjad,Middle East,Nbat
25110,00624,arb,ؤ,285,35.9424381428071,1322,Arab,39,0,abjad,Middle East,Nbat
25111,00624,arz,ؤ,142,35.9424381428071,1322,Arab,39,0,abjad,Middle East,Nbat
25112,00624,pes,ؤ,47,35.9424381428071,1322,Arab,39,0,abjad,Middle East,Nbat
25113,00624,prs,ؤ,38,35.9424381428071,1322,Arab,39,0,abjad,Middle East,Nbat
25114,00624,urd,ؤ,735,35.9424381428071,1322,Arab,39,0,abjad,Middle East,Nbat
25115,00625,arb,إ,2489,23.620526868162102,953,Arab,39,0,abjad,Middle East,Nbat
25116,00625,arz,إ,2623,23.620526868162102,953,Arab,39,0,abjad,Middle East,Nbat
25117,00626,arb,ئ,2298,46.7032730491831,1324,Arab,39,0,abjad,Middle East,Nbat
25118,00626,arz,ئ,1174,46.7032730491831,1324,Arab,39,0,abjad,Middle East,Nbat
25119,00626,pes,ئ,264,46.7032730491831,1324,Arab,39,0,abjad,Middle East,Nbat
25120,00626,prs,ئ,180,46.7032730491831,1324,Arab,39,0,abjad,Middle East,Nbat
25121,00626,snd,ئ,3141,46.7032730491831,1324,Arab,39,0,abjad,Middle East,Nbat
25122,00626,uig,ئ,13500,46.7032730491831,1324,Arab,39,0,abjad,Middle East,Nbat
25123,00626,urd,ئ,5403,46.7032730491831,1324,Arab,39,0,abjad,Middle East,Nbat
25124,00627,arb,ا,51394,16.885103564215502,811,Arab,39,0,abjad,Middle East,Nbat
25125,00627,arz,ا,17217,16.885103564215502,811,Arab,39,0,abjad,Middle East,Nbat
25126,00627,pes,ا,102008,16.885103564215502,811,Arab,39,0,abjad,Middle East,Nbat
25127,00627,prs,ا,49261,16.885103564215502,811,Arab,39,0,abjad,Middle East,Nbat
25128,00627,snd,ا,18931,16.885103564215502,811,Arab,39,0,abjad,Middle East,Nbat
25129,00627,uig,ا,30009,16.885103564215502,811,Arab,39,0,abjad,Middle East,Nbat
25130,00627,urd,ا,60056,16.885103564215502,811,Arab,39,0,abjad,Middle East,Nbat
25131,00628,arb,ب,17616,32.9623603694556,1086,Arab,39,0,abjad,Middle East,Nbat
25132,00628,arz,ب,9170,32.9623603694556,1086,Arab,39,0,abjad,Middle East,Nbat
25133,00628,pes,ب,33764,32.9623603694556,1086,Arab,39,0,abjad,Middle East,Nbat
